gene,correlation
DEAF1,0.135482347
CCIN,0.135481089
ADAMTSL1,0.13544574
FILIP1,0.135402599
DNAH5,0.135396214
IGF1,0.135269407
DDA1,0.134919201
C3orf33,0.134810947
ATP9B,0.134719315
GLOD4,0.134623648
IL1B,0.134547683
CRSP8P,0.134510822
BEX4,0.134496373
HEXA,0.134447096
GPC2,0.134399117
ATP6V1H,0.133960049
DENR,0.133772171
C17orf51,0.13376819
KIAA1191,0.133716092
BIRC3,0.133710346
C9orf16,0.133708663
L1CAM,0.133555914
CDC42,0.133548298
ITM2B,0.13353456
ACOT2,0.133407002
KCNIP4,0.133226629
CAP2,0.133220311
GRB2,0.133174436
IL1RAP,0.133162818
EXOSC6,0.133046786
C1QL2,0.132758334
BDNF,0.132625159
MAP4K3,0.1325597
CNTN1,0.132523676
GLT8D2,0.132501532
KLHL5,0.132442603
CARTPT,0.132424899
CAPZB,0.132328472
FAM181A,0.132262099
ESD,0.132218521
AFF2,0.132164409
MAP1LC3A,0.132061344
C14orf132,0.132055952
G3BP2,0.132005758
CLSTN2,0.131944476
GTF2H1,0.131847605
IP6K1,0.131815769
CCDC6,0.131486579
CTNNB1,0.131435596
L3MBTL3,0.131432289
GRM7,0.131177054
ATL1,0.131153614
C12orf45,0.131083148
LOC642852,0.131075036
CLIP3,0.131031849
CPNE7,0.130960242
BRWD1,0.130958523
KIF21B,0.130934361
GPATCH2,0.130733347
HUNK,0.130676727
HIVEP3,0.130587628
CCNF,0.130578839
AP2A2,0.130487886
DUSP4,0.130455259
DNAH14,0.130436964
COL4A2,0.130407005
GRIA1,0.130338648
LOC441666,0.130247421
BRD4,0.130224504
KNDC1,0.130159298
FBXO21,0.129944624
GSS,0.12992252
KIAA0319,0.129917695
HMGCS1,0.129888745
KSR2,0.129837942
FABP3,0.129780471
FAM185A,0.129779056
APC,0.129751277
ARHGAP28,0.129603949
FRMD4A,0.129540658
FEZF2,0.129528249
KIF2A,0.129433809
FBXL2,0.129324854
CNPY2,0.12924189
CFL1P1,0.129191024
LIN7A,0.129188747
BTBD3,0.129157869
DLG5,0.129148136
HSP90AB1,0.128999427
EPN1,0.128844002
MAPK8IP3,0.128643864
MAPK1,0.128639615
KCNMB2,0.128600097
GPRIN1,0.12855919
COL4A1,0.128465909
DISP2,0.128397298
ARVCF,0.128392196
AGK,0.128303496
GABRB3,0.128276415
ARMCX5,0.128245787
ATP6AP2,0.128187956
CACNG8,0.128110785
CCDC138,0.128104416
FFAR1,0.127968757
CLEC4G,0.127885224
CNGB1,0.127718317
KCNAB2,0.127669798
AZIN1,0.127666875
DACT1,0.127657844
ARL9,0.127649548
CPEB1,0.127521281
B3GNT4,0.127353465
KCMF1,0.127272169
ARPC5L,0.127259329
DHDH,0.127225311
CHCHD6,0.12721227
ATP2C1,0.127129705
CIB2,0.127067787
CDKN2D,0.126890353
BTC,0.126840655
MARK1,0.126795802
GLRA3,0.126786214
FIGNL1,0.126766053
MGAT4B,0.126761225
DOCK9,0.126745645
LXN,0.126685448
GTPBP4,0.126677788
KCTD4,0.126658512
C1QTNF2,0.126621913
BSN,0.126621505
BEGAIN,0.126587694
KLHL12,0.12640324
CSNK1G2,0.126351514
ITPKC,0.126327652
ERC2,0.126314593
FAM155A,0.126251858
FARSB,0.126225701
ABCA11P,0.126134512
ADAT2,0.126118384
KIF26B,0.126075548
C11orf58,0.126050634
LOR,0.125920705
CMTM8,0.125865362
EID2B,0.125801147
CASD1,0.125713518
IGFBP3,0.125683987
ACP2,0.125649252
EPHA4,0.125607789
LRCOL1,0.125541696
DSTYK,0.125532346
CDC27,0.125486377
MET,0.125385437
HDX,0.125341563
FARP1,0.125331106
JMJD4,0.125294361
LONRF2,0.125260573
DHRS2,0.12517815
APOPT1,0.125175214
KRTAP19_1,0.125167196
CBFA2T2,0.125129198
DYNC1LI1,0.125083415
CAND1,0.125015823
FLJ42627,0.125001844
C1orf53,0.124976935
EPS15,0.124892537
LIMCH1,0.124862831
GFOD1,0.124832842
DNAL4,0.124739738
CHERP,0.12452559
MEF2A,0.124473695
GGNBP1,0.124380967
IL27RA,0.124249768
HTR7,0.124245503
FAM174A,0.124239738
FUBP1,0.124189325
CLVS2,0.124173621
CAMKV,0.124059733
ASCL2,0.124017034
KPNA2,0.124008954
ISG15,0.124006026
CDC5L,0.12397904
DOLPP1,0.123970281
ILDR2,0.123949773
FAHD1,0.123852152
ATP6V1B2,0.123841246
CALML3,0.123802552
KLK12,0.123771624
CDH9,0.123758887
LINGO1,0.123754595
INCENP,0.123718166
C7orf25,0.123691274
DAB1,0.123671846
B3GALNT1,0.123652304
CELSR2,0.123623465
FJX1,0.123615997
DLGAP1,0.123540885
EIF4G3,0.12343633
ADAM9,0.123344151
CHD3,0.123309066
COL21A1,0.12328381
ICAM5,0.123176392
LOC100131289,0.123161202
CD83,0.123075326
BRD1,0.123067412
LDOC1,0.122927259
HSF4,0.122900745
CDH3,0.122767484
ATP8B2,0.122746732
ELOVL4,0.122705799
EBP,0.122635478
CNIH3,0.12259036
ADD2,0.122587546
ACER2,0.122531869
GLS,0.122522608
KRTAP21_1,0.122416088
C15orf59,0.122373471
CLCN4,0.122369274
AAK1,0.122357726
GDI1,0.122332604
MEGF9,0.122295625
AP5B1,0.122287716
BRSK2,0.12226624
FAM110C,0.122244946
LAMA3,0.122225851
MATN4,0.122168405
LSM4,0.122142921
FAM151B,0.122142157
B4GALT6,0.122120382
CNTNAP1,0.122101896
KLHL11,0.122064062
DSCAM,0.121986927
MAPK3,0.121986171
CAPZA2,0.121959455
LARP1,0.121918744
COX19,0.12186891
GLRA2,0.121827114
FAM98A,0.121812655
AANAT,0.121742924
ABCA5,0.121676584
IGFBP5,0.121631528
CPZ,0.121570959
BHLHB9,0.121562231
CCT8,0.121512517
ADRA1D,0.121507586
FAAH2,0.121492681
CSMD1,0.121462451
MAPK8IP1,0.12142676
GRIA2,0.121411866
CAMK2A,0.121388249
DNAL1,0.121357838
GLO1,0.12131994
KCTD6,0.121281699
MCFD2,0.12122294
HMGB3P1,0.121201141
EFCAB1,0.121181655
GDF10,0.121163922
EIF2B3,0.121123838
CPNE4,0.121105942
BBS7,0.121102816
DLG2,0.121088461
GOLGA8A,0.121056143
ANKDD1A,0.121032677
HAAO,0.121030006
LRRFIP1,0.121021148
DYNLL1,0.121018464
ARHGAP6,0.120980556
COX8C,0.120911753
JPH3,0.120852508
MAP2K4,0.120784966
FAM169A,0.120621309
AMPH,0.120582294
ARHGEF11,0.120528138
FAM106A,0.120478968
FAM13A,0.120275792
ENPP1,0.120230884
JUND,0.12022381
DCUN1D5,0.120205389
DZIP3,0.120167317
FGD2,0.120162325
CRYZ,0.120049128
FAM160A1,0.119993104
AARS2,0.11996971
LINGO2,0.1199274
CHFR,0.119918201
DEGS1,0.119882699
CRYGA,0.119870529
BAIAP3,0.11985664
DHCR24,0.119838752
KCTD16,0.119772382
CABYR,0.119748532
DHX37,0.119732777
CORO1C,0.119696985
ADCY8,0.119665875
CEBPD,0.119635786
DAAM1,0.119614143
CSNK2A2,0.119585502
KIF3C,0.119467242
CDH12,0.119432934
CAMSAP1,0.119385009
LTBP4,0.119254716
INTS3,0.119228523
APAF1,0.119199717
KCNC4,0.11917498
CHD5,0.119171782
DNM1,0.11914767
ETNK1,0.119146886
CAB39,0.119142383
ARMCX2,0.119124147
GNL3L,0.119119633
ACADL,0.119088996
FIBCD1,0.118996145
ECT2,0.118983012
ASB10,0.118942385
ACVR2B,0.118893894
KCNA4,0.118885233
IL12RB2,0.118819281
BEND3,0.118814429
GEMIN8P4,0.118812664
CCT5,0.118780829
ENTPD4,0.118694522
LONRF1,0.118663145
AP2B1,0.118651593
KLK7,0.118641175
ELMO2,0.118638466
IQSEC3,0.118584757
AGAP3,0.118532253
CADM2,0.118527422
GNPTAB,0.118521879
KRT86,0.118499521
ACTA1,0.118429935
BAG4,0.118426424
GOLGA3,0.118408714
ARNTL2,0.118399197
FOXI3,0.118328741
EXT1,0.118206944
C8orf33,0.118149496
CEP170,0.118142489
ANKRD11,0.118140622
CCNA1,0.118136551
CNRIP1,0.118068213
APLP2,0.118054404
KIAA1211,0.118039957
ABI1,0.117963813
ASMTL_AS1,0.117963013
KCTD12,0.117899256
EPDR1,0.117894431
ARHGEF3,0.117891869
ATP6V1D,0.117800209
C9orf163,0.117765966
LRRC2,0.11775058
DCUN1D1,0.117679754
LRFN1,0.117627593
LY6E,0.117624717
MGRN1,0.117621845
C5orf49,0.117565105
CISD2,0.117552036
HRK,0.117503063
MDGA1,0.117480676
KBTBD6,0.11747946
GFM2,0.117476018
GNAZ,0.117387386
CUL7,0.117340826
ADAM11,0.11732359
ELK1,0.117313246
CEP76,0.117286679
FAM20A,0.117282395
DGKA,0.117280432
CCDC92,0.117270507
LHFPL4,0.117261955
GDF7,0.117197941
GNPDA2,0.117169933
CELSR3,0.117169679
CADM3,0.117131082
KPNA5,0.117073027
DGKZ,0.117068465
ARL4A,0.11704692
IFI27L1,0.116992028
C2orf80,0.116990332
FBXO34,0.116973298
ACSL4,0.116941698
C12orf4,0.116894133
AFG3L2,0.11687404
FOXD3,0.116838301
CCL21,0.116766761
EXOC6,0.116740403
AKR7A2P1,0.116739803
DYRK2,0.116729195
CNTNAP5,0.116704321
GALNT14,0.116701541
GPD2,0.11669437
FAM110B,0.116663904
MAP2K1,0.116639804
LAMB1,0.116567326
FAM13C,0.116502105
GARS,0.116463003
ANKRD50,0.116456548
ENOX1,0.116443225
FHOD3,0.116435741
MANEAL,0.116390344
ITGA9,0.116375466
GRIK1,0.116294528
GFRA4,0.116262552
MGAT3,0.116231921
CNTN3,0.11618817
ATP6V1G2,0.116179185
CADPS,0.116148646
CLASP2,0.116116584
MAP1B,0.116112394
GPR22,0.116085928
CAMK2N1,0.116079031
LYSMD2,0.116073909
MBL1P,0.116052292
EPHA3,0.116039676
GRK6,0.116036718
C16orf45,0.115947921
FDFT1,0.11585211
ARL16,0.115845723
ACBD3,0.115842391
FLRT3,0.115834778
LCE2A,0.115804719
EEA1,0.115771408
FASN,0.115770364
DAGLA,0.115747253
FMNL1,0.115741107
GRAMD1B,0.115728533
B4GALNT1,0.115712052
CPE,0.115702151
MAST1,0.115701524
GABBR2,0.115700159
CAMK1,0.115670223
KIRREL2,0.115612062
ARHGAP26,0.115601645
GATC,0.115553754
EVPL,0.115535988
KLF12,0.115523091
KRTAP5_3,0.115506822
CSNK1A1P1,0.115473323
MAGIX,0.115432731
ALDH8A1,0.115422399
C8G,0.115347042
BTF3L4,0.115337862
HNRNPC,0.115328307
MED25,0.115307253
CELF3,0.115306952
GDPD3,0.115286589
HS2ST1,0.115270668
KRTAP17_1,0.115262549
CCDC149,0.115260567
LY96,0.115207272
APBA1,0.115199033
ARL8B,0.11515427
ACSL6,0.115151483
MICAL2,0.11513679
C6orf120,0.115117634
CHST1,0.115101655
CRYBB3,0.115099294
CHSY3,0.115088982
COG5,0.115081603
DERL3,0.115003342
CPLX3,0.114967911
DPT,0.114956271
FRMPD4,0.114953946
CPEB3,0.114931636
GLIS1,0.114905307
LOC728485,0.114900989
MEX3B,0.114886334
GGCX,0.114830848
HERC4,0.114793078
AP2A1,0.114791727
GRM5,0.114730317
ENC1,0.114727186
ARRB2,0.114723686
MECR,0.114700769
CHRNB1,0.114697547
FEM1A,0.11468562
HIGD2B,0.114604013
ANKRD20A5P,0.114556819
ATP2B3,0.114551463
LNX2,0.114526233
ANKRD13C,0.114517205
DDX11L2,0.114463498
ABHD13,0.114378252
HS6ST3,0.114352927
ATF7IP2,0.114349396
IL4I1,0.114332065
ACVR1B,0.114319376
GOSR2,0.114288586
C8orf46,0.114285016
KRTAP23_1,0.114269033
BEX1,0.114250785
ENTPD6,0.114237333
FKBP1A,0.114233549
ICA1L,0.114219491
GNAQ,0.114197216
ANKRD30BP2,0.114190985
IFNGR2,0.114157953
FOXJ3,0.11412951
MAP6,0.114112061
C16orf70,0.114103757
CNKSR2,0.114096778
FAM83H,0.114070836
CCL28,0.114016764
GRIK5,0.113988135
C12orf65,0.113976844
GABRE,0.113960159
C10orf99,0.113952258
LRP8,0.113945158
ABHD14A,0.113935164
LGALS8,0.113914065
MEAF6,0.113910735
GABRB1,0.113902393
ERC2_IT1,0.113893852
KRTAP20_1,0.113865567
DEFB115,0.113856251
COPS8,0.113819548
FAM135A,0.113814552
GRIA3,0.113812691
EFTUD2,0.113807842
KLK10,0.113801379
HBQ1,0.113772564
MBD5,0.113750975
LDB2,0.113720339
KRTAP6_1,0.113716922
BRSK1,0.113714128
ARPC4,0.113695696
FAM149A,0.113672945
DENND1A,0.113657288
GTPBP1,0.113603768
CRLS1,0.1135916
HIST1H2AE,0.113566638
EIF4G1,0.113536895
KDM4D,0.113507011
ACTR1A,0.113441454
FAM126B,0.113407119
C3orf67,0.113384629
AP3B2,0.113332147
ARMC7,0.113315581
DOK5,0.113276345
GPR119,0.113247544
IQSEC2,0.113210342
FBXO11,0.113192857
LCE6A,0.113182539
ARF3,0.113153027
HLA_DQB2,0.113150416
BARD1,0.113142161
CDS2,0.1131387
GPM6A,0.113116135
COL27A1,0.11309953
AGAP1,0.113076138
KMO,0.11307309
C1orf52,0.113031859
HIST1H2BK,0.113025748
MAST2,0.113021049
LRRC15,0.11296147
HIST1H4K,0.112930437
CACNB1,0.112904028
BEND6,0.112893364
LOC728743,0.11289301
C1orf216,0.112872676
CDH8,0.112853991
CKMT1A,0.112845429
EHD3,0.112832502
HS3ST1,0.112832022
EFNB3,0.11281577
GRAMD4,0.112814438
AMMECR1,0.112810244
HTT,0.112777103
MFHAS1,0.11269581
FURIN,0.112694088
LRRC3B,0.112656248
CACNA1D,0.11263929
DSCC1,0.112595902
B3GAT1,0.112574156
HNMT,0.112567349
GNAI3,0.112551738
FAM19A2,0.11253832
GLRX,0.112528811
GRPR,0.112515469
JUN,0.112514841
HYLS1,0.112508889
DPP6,0.112485573
AMACR,0.112442807
BTNL2,0.112417761
CAMK2N2,0.112383752
FAM24B,0.112359758
DHX57,0.112353102
FREM1,0.112340566
ATP1A3,0.112309562
APOL1,0.112289175
AIG1,0.112272747
ATXN2L,0.112252636
HERC2,0.112194481
CNOT3,0.112183506
FGFR1OP,0.11214067
KIAA0513,0.11213937
KCNMB4,0.112128311
ARHGAP29,0.112123545
INPP5J,0.112122094
LIMK1,0.112092965
HDAC3,0.112088162
CYP4Z1,0.112080087
MED29,0.112068328
FAM78B,0.112048674
CABIN1,0.111994303
ALOX12P2,0.111969599
IKZF4,0.111968879
CORO2A,0.111945643
ARL6IP1,0.111944766
BTBD9,0.111937966
LARP4B,0.111900964
KRT83,0.111896458
LRRC28,0.111887951
AJAP1,0.111798934
EXOC1,0.111776063
LYNX1,0.111774447
GFM1,0.111772449
GAPVD1,0.111767716
LRRC7,0.11174813
ANKS1B,0.111728355
BNIP3L,0.111690747
ITGA3,0.111630072
MAZ,0.11161649
LANCL3,0.11158694
IDUA,0.111585166
CTAGE1,0.111572372
CDSN,0.11155495
CLCN6,0.111553416
EXOC3,0.111533956
GK3P,0.11151659
CDH2,0.111499108
CMTM4,0.111432949
DNAJC5,0.111408363
ANKRD33B,0.111401852
ATP6V0B,0.111399601
GRIN2B,0.111385796
EHBP1L1,0.11138253
DAPL1,0.111372117
KCNK6,0.111351092
ERGIC1,0.1113488
KIAA0319L,0.111336539
E2F5,0.111314723
DGCR9,0.111243979
GRIN3A,0.111206053
LYRM2,0.11120552
CHM,0.111203116
ALS2,0.11119071
EXOSC7,0.111142575
KCNN1,0.11112875
CYFIP1,0.111126055
GLP2R,0.111026565
GNL3,0.111021813
CACNA1C,0.111010522
LHB,0.110999374
CANX,0.110988283
C2CD2L,0.110987718
CREG2,0.11098736
ELOVL6,0.110950647
BICD2,0.110934571
CREG1,0.11092223
ARHGAP10,0.11089614
CSAD,0.110875357
CRYGD,0.110858347
HS3ST3A1,0.110852839
CDC6,0.110843371
LOC554206,0.110837354
IMPA1,0.110826581
EFR3A,0.110748248
COQ10B,0.110682083
FAM168A,0.110598165
DCLK2,0.110558766
DYDC2,0.110528438
ENTPD2,0.110515589
HIRA,0.110491317
GPR68,0.11045548
CPSF4,0.110421675
HECW2,0.110411152
CALM2,0.110399536
ACTG1P4,0.110389011
LCE2C,0.110384631
DCBLD1,0.110356532
CDC42SE2,0.110343831
FRMPD3,0.110286325
LSM14B,0.110271707
LINC00475,0.110262608
CAPRIN1,0.11023611
LASP1,0.110218316
CYP26B1,0.110204118
EBPL,0.110203835
LNPEP,0.11019863
FAM57B,0.110184363
MFSD6,0.11017864
KCTD13,0.110160146
CHIC1,0.110126466
APOL2,0.110101869
COPS3,0.110096271
HDC,0.110062437
CEACAM1,0.110039887
ADAM19,0.110018035
ANKRD52,0.109995397
IGSF22,0.109975628
GMCL1,0.109971789
C17orf67,0.109942548
ABCG4,0.10993897
KDM4B,0.109917345
F12,0.109852659
CKMT1B,0.109847352
GYG2,0.10982332
CACNB3,0.109819369
AGPAT1,0.109779818
CALM3,0.109761661
ARFGAP1,0.109750736
BZW1,0.109750691
CABP2,0.109733793
LIG4,0.109732433
DKKL1,0.109726774
CYP4X1,0.109687755
KCNG3,0.109687202
FGFR1OP2,0.10966338
GDA,0.109632506
EXTL1,0.109631733
KRTAP5_9,0.109623547
C18orf21,0.109591029
HIST1H4F,0.109554607
CA13,0.109520431
ARPC1A,0.109457592
ATP1A4,0.109441441
INPP4B,0.109416952
HSPA4L,0.109412986
FAM117A,0.109402293
IFI27L2,0.109391082
FAM20B,0.109358634
C15orf40,0.109340163
LRRC40,0.109334528
CPLX2,0.109332061
CHAC2,0.109325882
CNPY3,0.109308415
ATP1B1,0.109293644
CFL1,0.109290484
ITPRIPL1,0.109285451
CDH16,0.109280923
KLHL7,0.109272667
IL13RA2,0.109261561
DNAJC14,0.109247877
CALML4,0.109241615
EIF4EBP1,0.109187159
CYB561D1,0.109186723
CNBP,0.109186175
DKK3,0.109176537
C10orf88,0.109169164
CDH4,0.109165251
FAM19A5,0.109163149
MIB2,0.109154239
GPR156,0.109124899
MED8,0.109119051
CDC37L1,0.109074916
HTR4,0.109050026
FNDC5,0.109017981
LHX2,0.109007946
IREB2,0.109000102
GOLGA7B,0.108970078
APP,0.108967456
KIAA1841,0.108961494
KCNJ6,0.108916144
ICA1,0.108908161
HIST1H4L,0.10888667
KIAA1257,0.108863627
CCT6A,0.108861526
CTHRC1,0.108852338
DEFB124,0.10884221
EXOG,0.108817345
FAM71F1,0.108807119
GALM,0.108793537
C12orf73,0.108785315
GPR61,0.10877239
DNAJB5,0.108771329
CYP51A1,0.10876591
CNIH2,0.108757127
GNAI1,0.108756356
MBOAT2,0.10875347
CHRM5,0.10874815
KCNK10,0.108731356
CHAC1,0.108699546
CCDC74B,0.108699147
FAM19A1,0.108681094
FEM1B,0.10867363
ISPD,0.108666531
FAM153A,0.10866515
GPR137C,0.108651504
EEFSEC,0.108616363
HNRNPA3P1,0.108581264
DYNLRB1,0.108558322
KPNA3,0.108532939
CENPT,0.108509011
CHL1,0.108486014
LDB1,0.108476738
MARCKS,0.108475232
BEST2,0.108449731
ATP6V0E2,0.108439069
FNIP2,0.108398216
C1orf100,0.108394814
DDX19A,0.108381325
KRTAP6_3,0.108367344
CWF19L1,0.108327047
GLRB,0.108310331
DACH2,0.108288661
CCDC87,0.10827735
CS,0.108248999
CTCF,0.108234475
AP1G2,0.108221558
MATN2,0.108208414
JAKMIP2,0.108198723
CCNH,0.108164653
AHI1,0.108159076
ASB18,0.108144631
DHH,0.108144026
CUL1,0.108120732
ABHD6,0.108057661
GTPBP8,0.108044162
E2F3,0.108034369
KRT71,0.108025803
GTF3C4,0.108021277
IMPAD1,0.108020459
C8orf34,0.108020352
ANK3,0.107993615
CLTB,0.107943119
ACAP3,0.107928624
GEN1,0.107916491
KIF21A,0.107916319
HECTD3,0.107903558
FOXRED2,0.107894129
ABR,0.107893816
CYTH3,0.107863919
DNAJC21,0.107827063
FBXL18,0.107815145
CACNA1B,0.107805834
CDON,0.107789302
HPS3,0.10777451
ARL8A,0.107773911
FAF2,0.107769744
ATP2C2,0.107752413
DUSP11,0.107751916
DNAH7,0.107744715
GAN,0.107710192
FKBP1B,0.107709738
FUCA1,0.107703261
APBA2,0.107683069
AMZ1,0.107681284
HOOK1,0.107676814
CCL22,0.107663511
MAP3K4,0.107662157
GGH,0.107658149
MCF2L2,0.107648293
CCDC90B,0.107618648
LRRN2,0.107616275
LRFN2,0.10760984
ADAD2,0.107608402
KRTAP13_1,0.107594746
EFNB2,0.107484213
KCNN2,0.107470207
HLA_DMB,0.10745465
ACOT8,0.107449219
FHL2,0.107447979
MACROD2,0.107442811
FGF17,0.107442672
LRFN4,0.107430994
KCTD10,0.107429574
LUZP2,0.107427817
C7orf57,0.107424957
ATF1,0.107423345
BFSP1,0.1074049
CENPJ,0.107400288
DPYSL4,0.107391336
GPSM1,0.107383721
C10orf82,0.107362641
LCE3A,0.107357243
ECHDC3,0.107345726
B9D1,0.10729454
CHST12,0.107272357
CD200,0.107222112
CYFIP2,0.10721884
HIST1H1E,0.107210304
LRRC66,0.107193144
ISG20L2,0.107177261
GPR78,0.107163487
AVL9,0.107121072
KIAA1143,0.107110866
MAP1LC3B,0.107099586
CEACAM20,0.107082625
LEFTY1,0.107078989
HOPX,0.107061722
GAS2,0.107041009
DHCR7,0.107024461
MARS,0.107016564
ARHGAP21,0.107014737
ABCA9,0.106973915
BCL7B,0.106968967
DNAJC5G,0.106962781
C12orf54,0.106857564
KLF7,0.106853162
KCNQ2,0.106847642
EPM2AIP1,0.106838096
KBTBD2,0.10681124
KIF20A,0.106772812
ISX,0.106763254
AURKC,0.106745391
CHST8,0.106725486
LRCH1,0.10672427
FBXO31,0.106720085
ELAVL2,0.106712747
BSDC1,0.1067092
FBRSL1,0.106707173
KLK5,0.106681482
CLCN7,0.106676542
KIAA0895L,0.106669813
HCCS,0.106664532
HNRNPKP3,0.106642749
DSP,0.106627342
CTBP2,0.106622016
ACTR8,0.106591441
GMFB,0.106585931
KIT,0.106577595
EMX1,0.10657711
COL13A1,0.106538376
ATP6V0A4,0.10652093
COL10A1,0.10651266
INPP5B,0.106478171
CHORDC1,0.106475097
CLSTN1,0.106453065
FAM71F2,0.106431941
FGF8,0.106429742
ARSK,0.10642079
BASP1,0.10640682
KCTD21,0.10638547
IMPG2,0.106378674
HIST1H4J,0.106376547
FAM131A,0.106301132
GPR161,0.106293719
LARP1B,0.106280729
KLHL33,0.106270517
BCL11A,0.106247508
DYNC1I1,0.106223738
EXTL3,0.106172966
LCE2D,0.106168076
KIF23,0.106157122
FXYD7,0.106135386
CAMTA2,0.1061319
GRIN2A,0.106090519
ARFGEF2,0.106081575
FLVCR1_AS1,0.106073524
LOC100240734,0.106066613
MED26,0.106064653
ABCG8,0.106059085
BDKRB2,0.106043553
KIF3A,0.106042853
CETN2,0.10602876
FAM3C,0.106001579
CBWD5,0.105993571
FZD7,0.105983913
FOLR2,0.105978352
CHST9,0.105967177
FAM171B,0.105934776
HIST1H4B,0.105909708
CACNG7,0.105892958
EID1,0.105881386
B4GALT2,0.105880687
ATP13A2,0.105822629
CLASP1,0.105817109
LRRC55,0.105816636
CCDC43,0.105804022
ITPRIPL2,0.105791747
ARHGAP18,0.105746431
HSPA12A,0.105699202
FAM81A,0.105694347
INE1,0.105691127
C1orf194,0.105666318
BSG,0.105638923
IGLON5,0.105632298
JPH4,0.105623778
ARPC3,0.105600274
DPF1,0.105585064
C9orf50,0.105568532
EPB41L5,0.105567142
AQP2,0.105555844
KCNQ1OT1,0.105503972
CDADC1,0.105494875
FAM155B,0.105470352
KLC2,0.105450413
MGP,0.105448064
KCNK12,0.105444602
MALT1,0.105443545
MAN1A1,0.105442215
EAF2,0.105419742
CCDC71,0.105417091
AURKB,0.105398025
DNMBP,0.105395313
ANO5,0.105376588
DNM1L,0.105352702
CACNB2,0.105327868
FASTKD3,0.105315728
FAM163A,0.105313352
ENAH,0.105288531
KLF13,0.105275447
JAZF1,0.105261028
C2orf81,0.105205548
EIF3I,0.105192135
EP300,0.10517927
DPYD,0.10517542
ARID3A,0.105131907
CCDC113,0.105119961
BCL2A1,0.105119049
KCNJ3,0.105075883
ACTB,0.105074695
AARD,0.105069036
MED24,0.105066946
FIGNL2,0.105063317
ERCC3,0.105055133
HMG20A,0.105054006
C3orf22,0.105017062
CIB3,0.104978541
HMGCLL1,0.104972752
DDB1,0.104972173
DCUN1D4,0.104940017
ANKRD54,0.104918865
FAM161B,0.104917383
C2orf27A,0.104901386
ABHD11,0.104895034
MCF2,0.104886468
KIDINS220,0.104882159
LOC389831,0.104880407
ATRN,0.104878296
CREB3L1,0.104866272
GLYCTK,0.104839892
ANGPT1,0.104818914
IPPK,0.104803439
DIAPH2,0.104767364
GALNT5,0.104756213
DUSP18,0.104750519
GRM2,0.10473284
LINC00319,0.104730134
CHID1,0.104729163
C2orf70,0.104708601
ITGA8,0.104706372
KPNA6,0.104699677
BBS4,0.104689639
HSPB11,0.10468559
BUB3,0.104679047
ATP11B,0.104678004
HDAC4,0.104665849
MED12L,0.104624735
DDX49,0.104613293
